"","id","name","sex","age","height","weight","team","noc","games","year","season","city","sport","event","medal","gold","sex_c","event_gender"
"24","106","Agostino Abbagnale","M",34,188,96,"Italy","ITA","2000 Summer",2000,"Summer","Sydney","Rowing","Rowing  Quadruple Sculls","Gold","1",-0.5,"Men's"
"25","143","Desmond ""Des"" Abbott","M",21,184,87,"Australia","AUS","2008 Summer",2008,"Summer","Beijing","Hockey","Hockey  Hockey","Bronze","0",-0.5,"Men's"
"26","145","Jeremy Abbott","M",28,175,70,"United States","USA","2014 Winter",2014,"Winter","Sochi","Figure Skating","Figure Skating  Team","Bronze","0",-0.5,"Mixed"
"27","153","Monica Cecilia Abbott","F",23,191,88,"United States","USA","2008 Summer",2008,"Summer","Beijing","Softball","Softball  Softball","Silver","0",0.5,"Women's"
"28","165","Nia Nicole Abdallah","F",20,175,56,"United States","USA","2004 Summer",2004,"Summer","Athina","Taekwondo","Taekwondo  Featherweight","Silver","0",0.5,"Women's"
"29","250","Saeid Morad Abdevali","M",26,170,80,"Iran","IRI","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling  Middleweight, Greco-Roman","Bronze","0",-0.5,"Men's"
"30","337","Mukhammad Kadyr Abdullayev","M",26,169,63,"Uzbekistan","UZB","2000 Summer",2000,"Summer","Sydney","Boxing","Boxing  Light-Welterweight","Gold","1",-0.5,"Men's"
"31","339","Namiq Yadulla Abdullayev","M",25,167,55,"Azerbaijan","AZE","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling  Flyweight, Freestyle","Silver","0",-0.5,"Men's"
"32","339","Namiq Yadulla Abdullayev","M",29,167,55,"Azerbaijan","AZE","2000 Summer",2000,"Summer","Sydney","Wrestling","Wrestling  Bantamweight, Freestyle","Gold","1",-0.5,"Men's"
"33","351","Julius Shareef Abdur-Rahim","M",23,202,104,"United States","USA","2000 Summer",2000,"Summer","Sydney","Basketball","Basketball  Basketball","Gold","1",-0.5,"Men's"
"34","357","Yusup Abdusalomov","M",30,170,84,"Tajikistan","TJK","2008 Summer",2008,"Summer","Beijing","Wrestling","Wrestling  Light-Heavyweight, Freestyle","Silver","0",-0.5,"Men's"
"35","367","Masashi Abe","M",28,175,64,"Japan","JPN","1994 Winter",1994,"Winter","Lillehammer","Nordic Combined","Nordic Combined  Team","Gold","1",-0.5,"Men's"
"36","395","Jennifer Abel","F",20,160,62,"Canada","CAN","2012 Summer",2012,"Summer","London","Diving","Diving  Synchronized Springboard","Bronze","0",0.5,"Women's"
"37","411","Gezahgne Abera","M",22,166,58,"Ethiopia","ETH","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics  Marathon","Gold","1",-0.5,"Men's"
"38","423","Michael Brent Abernathy","M",22,182,84,"United States","USA","2000 Summer",2000,"Summer","Sydney","Baseball","Baseball  Baseball","Gold","1",-0.5,"Men's"
"39","428","Elvan Abeylegesse","F",25,159,40,"Turkey","TUR","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics  5,000 metres","Silver","0",0.5,"Women's"
"40","455","Denis Mikhaylovich Ablyazin","M",19,161,62,"Russia","RUS","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics  Floor Exercise","Bronze","0",-0.5,"Men's"
"41","455","Denis Mikhaylovich Ablyazin","M",19,161,62,"Russia","RUS","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics  Horse Vault","Silver","0",-0.5,"Men's"
"42","455","Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia","RUS","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics  Team All-Around","Silver","0",-0.5,"Men's"
"43","455","Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia","RUS","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics  Horse Vault","Silver","0",-0.5,"Men's"
"44","455","Denis Mikhaylovich Ablyazin","M",24,161,62,"Russia","RUS","2016 Summer",2016,"Summer","Rio de Janeiro","Gymnastics","Gymnastics  Rings","Bronze","0",-0.5,"Men's"
"45","465","Matthew ""Matt"" Abood","M",30,197,92,"Australia","AUS","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming  4 x 100 metres Freestyle Relay","Bronze","0",-0.5,"Men's"
"46","495","Alaaeldin Ahmad El-Sayyid Abouelkassem","M",21,188,87,"Egypt","EGY","2012 Summer",2012,"Summer","London","Fencing","Fencing  Foil, Individual","Silver","0",-0.5,"Men's"
"47","514","Ara Abrahamian","M",29,191,84,"Sweden","SWE","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling  Light-Heavyweight, Greco-Roman","Silver","0",-0.5,"Men's"
"48","543","Pavel Sergeyevich Abramov","M",25,198,89,"Russia","RUS","2004 Summer",2004,"Summer","Athina","Volleyball","Volleyball  Volleyball","Bronze","0",-0.5,"Men's"
"49","548","Yekaterina Konstantinovna Abramova","F",23,167,65,"Russia","RUS","2006 Winter",2006,"Winter","Torino","Speed Skating","Speed Skating  Team Pursuit (6 laps)","Bronze","0",0.5,"Women's"
"50","576","Alejandro ""lex"" Abrines Redondo","M",23,198,93,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Basketball","Basketball  Basketball","Bronze","0",-0.5,"Men's"
"51","580","Svetlana Olegovna Abrosimova","F",28,188,77,"Russia","RUS","2008 Summer",2008,"Summer","Beijing","Basketball","Basketball  Basketball","Bronze","0",0.5,"Women's"
"52","583","Julien Absalon","M",23,180,68,"France","FRA","2004 Summer",2004,"Summer","Athina","Cycling","Cycling  Mountainbike, Cross-Country","Gold","1",-0.5,"Men's"
"53","583","Julien Absalon","M",27,180,68,"France","FRA","2008 Summer",2008,"Summer","Beijing","Cycling","Cycling  Mountainbike, Cross-Country","Gold","1",-0.5,"Men's"
"54","608","Ahmad Abughaush","M",20,178,68,"Jordan","JOR","2016 Summer",2016,"Summer","Rio de Janeiro","Taekwondo","Taekwondo  Featherweight","Gold","1",-0.5,"Men's"
"55","627","Andreea Roxana Acatrinei","F",16,150,40,"Romania","ROU","2008 Summer",2008,"Summer","Beijing","Gymnastics","Gymnastics  Team All-Around","Bronze","0",0.5,"Women's"
"56","629","William Accambray","M",24,194,104,"France","FRA","2012 Summer",2012,"Summer","London","Handball","Handball  Handball","Gold","1",-0.5,"Men's"
"57","690","Chantal Achterberg","F",27,172,72,"Netherlands","NED","2012 Summer",2012,"Summer","London","Rowing","Rowing  Coxed Eights","Bronze","0",0.5,"Women's"
"58","690","Chantal Achterberg","F",31,172,72,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Rowing","Rowing  Quadruple Sculls","Silver","0",0.5,"Women's"
"59","702","Ronny Ackermann","M",24,184,69,"Germany","GER","2002 Winter",2002,"Winter","Salt Lake City","Nordic Combined","Nordic Combined  Team","Silver","0",-0.5,"Men's"
"60","702","Ronny Ackermann","M",24,184,69,"Germany","GER","2002 Winter",2002,"Winter","Salt Lake City","Nordic Combined","Nordic Combined  Sprint","Silver","0",-0.5,"Men's"
"61","702","Ronny Ackermann","M",28,184,69,"Germany","GER","2006 Winter",2006,"Winter","Torino","Nordic Combined","Nordic Combined  Team","Silver","0",-0.5,"Men's"
"62","705","Donat Acklin","M",28,190,99,"Switzerland-1","SUI","1994 Winter",1994,"Winter","Lillehammer","Bobsleigh","Bobsleigh  Two","Gold","1",-0.5,"Men's"
"63","705","Donat Acklin","M",28,190,99,"Switzerland-1","SUI","1994 Winter",1994,"Winter","Lillehammer","Bobsleigh","Bobsleigh  Four","Silver","0",-0.5,"Men's"
"64","706","Guido Acklin","M",24,200,104,"Switzerland-2","SUI","1994 Winter",1994,"Winter","Lillehammer","Bobsleigh","Bobsleigh  Two","Silver","0",-0.5,"Men's"
"65","716","Lautaro Germn Acosta","M",20,168,72,"Argentina","ARG","2008 Summer",2008,"Summer","Beijing","Football","Football  Football","Gold","1",-0.5,"Men's"
"66","723","Osmay Acosta Duarte","M",23,188,91,"Cuba","CUB","2008 Summer",2008,"Summer","Beijing","Boxing","Boxing  Heavyweight","Bronze","0",-0.5,"Men's"
"67","772","Michael B. ""Mike"" Adam","M",24,175,95,"Canada","CAN","2006 Winter",2006,"Winter","Torino","Curling","Curling  Curling","Gold","1",-0.5,"Men's"
"68","832","Nicola Virginia Adams","F",29,164,51,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Boxing","Boxing  Flyweight","Gold","1",0.5,"Women's"
"69","832","Nicola Virginia Adams","F",33,164,51,"Great Britain","GBR","2016 Summer",2016,"Summer","Rio de Janeiro","Boxing","Boxing  Flyweight","Gold","1",0.5,"Women's"
"70","837","Rachael Alexis Adams","F",26,188,81,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Volleyball","Volleyball  Volleyball","Bronze","0",0.5,"Women's"
"71","840","Victoria ""Vicki"" Adams","F",24,164,69,"Great Britain","GBR","2014 Winter",2014,"Winter","Sochi","Curling","Curling  Curling","Bronze","0",0.5,"Women's"
"72","846","Valerie Kasanita Adams-Vili (-Price)","F",23,193,120,"New Zealand","NZL","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics  Shot Put","Gold","1",0.5,"Women's"
"73","846","Valerie Kasanita Adams-Vili (-Price)","F",27,193,120,"New Zealand","NZL","2012 Summer",2012,"Summer","London","Athletics","Athletics  Shot Put","Gold","1",0.5,"Women's"
"74","846","Valerie Kasanita Adams-Vili (-Price)","F",31,193,120,"New Zealand","NZL","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics  Shot Put","Silver","0",0.5,"Women's"
"75","849","Filip Kamil Adamski","M",29,189,87,"Germany","GER","2012 Summer",2012,"Summer","London","Rowing","Rowing  Coxed Eights","Gold","1",-0.5,"Men's"
"76","896","Olubayo Adefemi","M",22,181,82,"Nigeria","NGR","2008 Summer",2008,"Summer","Beijing","Football","Football  Football","Silver","0",-0.5,"Men's"
"77","908","Ayodele ""Dele"" Adeleye","M",19,190,80,"Nigeria","NGR","2008 Summer",2008,"Summer","Beijing","Football","Football  Football","Silver","0",-0.5,"Men's"
"78","925","Adenzia Aparecida Ferreira da Silva","F",25,187,65,"Brazil","BRA","2012 Summer",2012,"Summer","London","Volleyball","Volleyball  Volleyball","Gold","1",0.5,"Women's"
"79","953","Franck Adisson","M",26,180,70,"France-1","FRA","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing  Canadian Doubles, Slalom","Gold","1",-0.5,"Men's"
"80","956","Richard ""Richy""  Adjei","M",27,190,110,"Germany-2","GER","2010 Winter",2010,"Winter","Vancouver","Bobsleigh","Bobsleigh  Two","Silver","0",-0.5,"Men's"
"81","963","Derrick Ralph Adkins","M",26,188,80,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics  400 metres Hurdles","Gold","1",-0.5,"Men's"
"82","980","Rebecca ""Becky"" Adlington","F",19,179,70,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming  400 metres Freestyle","Gold","1",0.5,"Women's"
"83","980","Rebecca ""Becky"" Adlington","F",19,179,70,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming  800 metres Freestyle","Gold","1",0.5,"Women's"
"84","980","Rebecca ""Becky"" Adlington","F",23,179,70,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Swimming","Swimming  400 metres Freestyle","Bronze","0",0.5,"Women's"
"85","980","Rebecca ""Becky"" Adlington","F",23,179,70,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Swimming","Swimming  800 metres Freestyle","Bronze","0",0.5,"Women's"
"86","1000","Dainius Adomaitis","M",26,202,100,"Lithuania","LTU","2000 Summer",2000,"Summer","Sydney","Basketball","Basketball  Basketball","Bronze","0",-0.5,"Men's"
"87","1017","Nathan Ghar-Jun Adrian","M",19,198,100,"United States","USA","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming  4 x 100 metres Freestyle Relay","Gold","1",-0.5,"Men's"
"88","1017","Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming  100 metres Freestyle","Gold","1",-0.5,"Men's"
"89","1017","Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming  4 x 100 metres Freestyle Relay","Silver","0",-0.5,"Men's"
"90","1017","Nathan Ghar-Jun Adrian","M",23,198,100,"United States","USA","2012 Summer",2012,"Summer","London","Swimming","Swimming  4 x 100 metres Medley Relay","Gold","1",-0.5,"Men's"
"91","1017","Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming  50 metres Freestyle","Bronze","0",-0.5,"Men's"
"92","1017","Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming  100 metres Freestyle","Bronze","0",-0.5,"Men's"
"93","1017","Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming  4 x 100 metres Freestyle Relay","Gold","1",-0.5,"Men's"
"94","1017","Nathan Ghar-Jun Adrian","M",27,198,100,"United States","USA","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming  4 x 100 metres Medley Relay","Gold","1",-0.5,"Men's"
"95","1020","Adriana Aparecida dos Santos","F",25,180,61,"Brazil","BRA","1996 Summer",1996,"Summer","Atlanta","Basketball","Basketball  Basketball","Silver","0",0.5,"Women's"
"96","1020","Adriana Aparecida dos Santos","F",29,180,61,"Brazil","BRA","2000 Summer",2000,"Summer","Sydney","Basketball","Basketball  Basketball","Bronze","0",0.5,"Women's"
"97","1023","Adriana ""Adrianinha"" Moiss Pinto","F",21,170,65,"Brazil","BRA","2000 Summer",2000,"Summer","Sydney","Basketball","Basketball  Basketball","Bronze","0",0.5,"Women's"
"98","1025","Attila Adrovicz","M",30,189,87,"Hungary","HUN","1996 Summer",1996,"Summer","Atlanta","Canoeing","Canoeing  Kayak Fours, 1,000 metres","Silver","0",-0.5,"Men's"
"99","1071","Kseniya Dmitriyevna Afanasyeva","F",20,158,48,"Russia","RUS","2012 Summer",2012,"Summer","London","Gymnastics","Gymnastics  Team All-Around","Silver","0",0.5,"Women's"
"100","1085","Maksim Sergeyevich Afinogenov","M",22,183,88,"Russia","RUS","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey  Ice Hockey","Bronze","0",-0.5,"Men's"
"101","1088","Olabisi ""Bisi"" Afolabi","F",20,180,62,"Nigeria","NGR","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics  4 x 400 metres Relay","Silver","0",0.5,"Women's"
"102","1095","Cecil Sebastian Afrika","M",28,175,75,"South Africa","RSA","2016 Summer",2016,"Summer","Rio de Janeiro","Rugby Sevens","Rugby Sevens  Rugby Sevens","Bronze","0",-0.5,"Men's"
"103","1107","Timothy Ernest Victor Kwizera ""Tim"" Agaba","M",27,193,104,"South Africa","RSA","2016 Summer",2016,"Summer","Rio de Janeiro","Rugby Sevens","Rugby Sevens  Rugby Sevens","Bronze","0",-0.5,"Men's"
"104","1114","Luca Agamennoni","M",24,187,93,"Italy","ITA","2004 Summer",2004,"Summer","Athina","Rowing","Rowing  Coxless Fours","Bronze","0",-0.5,"Men's"
"105","1114","Luca Agamennoni","M",27,187,93,"Italy","ITA","2008 Summer",2008,"Summer","Beijing","Rowing","Rowing  Quadruple Sculls","Silver","0",-0.5,"Men's"
"106","1122","Andre Kirk Agassi","M",26,180,80,"United States","USA","1996 Summer",1996,"Summer","Atlanta","Tennis","Tennis  Singles","Gold","1",-0.5,"Men's"
"107","1131","Clarisse Agbegnenou","F",23,164,66,"France","FRA","2016 Summer",2016,"Summer","Rio de Janeiro","Judo","Judo  Half-Middleweight","Silver","0",0.5,"Women's"
"108","1169","Marilyn Agliotti","F",29,172,58,"Netherlands","NED","2008 Summer",2008,"Summer","Beijing","Hockey","Hockey  Hockey","Gold","1",0.5,"Women's"
"109","1169","Marilyn Agliotti","F",33,172,58,"Netherlands","NED","2012 Summer",2012,"Summer","London","Hockey","Hockey  Hockey","Gold","1",0.5,"Women's"
"110","1173","Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming  200 metres Freestyle","Gold","1",-0.5,"Men's"
"111","1173","Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming  4 x 100 metres Freestyle Relay","Gold","1",-0.5,"Men's"
"112","1173","Yannick Agnel","M",20,202,90,"France","FRA","2012 Summer",2012,"Summer","London","Swimming","Swimming  4 x 200 metres Freestyle Relay","Silver","0",-0.5,"Men's"
"113","1181","Meghan Christina Agosta (-Marciano)","F",18,168,67,"Canada","CAN","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey  Ice Hockey","Gold","1",0.5,"Women's"
"114","1181","Meghan Christina Agosta (-Marciano)","F",23,168,67,"Canada","CAN","2010 Winter",2010,"Winter","Vancouver","Ice Hockey","Ice Hockey  Ice Hockey","Gold","1",0.5,"Women's"
"115","1181","Meghan Christina Agosta (-Marciano)","F",26,168,67,"Canada","CAN","2014 Winter",2014,"Winter","Sochi","Ice Hockey","Ice Hockey  Ice Hockey","Gold","1",0.5,"Women's"
"116","1188","Benjamin Alexandro ""Ben"" Agosto","M",24,178,75,"United States-1","USA","2006 Winter",2006,"Winter","Torino","Figure Skating","Figure Skating  Ice Dancing","Silver","0",-0.5,"Mixed"
"117","1220","Sergio Leonel Agero del Castillo","M",20,172,74,"Argentina","ARG","2008 Summer",2008,"Summer","Beijing","Football","Football  Football","Gold","1",-0.5,"Men's"
"118","1221","Taismary ""Tai"" Agero Leiva (-Botteghi)","F",23,175,70,"Cuba","CUB","2000 Summer",2000,"Summer","Sydney","Volleyball","Volleyball  Volleyball","Gold","1",0.5,"Women's"
"119","1254","Macarena Aguilar Daz","F",27,170,67,"Spain","ESP","2012 Summer",2012,"Summer","London","Handball","Handball  Handball","Bronze","0",0.5,"Women's"
"120","1262","Sandra Aguilar Navarro","F",23,167,50,"Spain","ESP","2016 Summer",2016,"Summer","Rio de Janeiro","Rhythmic Gymnastics","Rhythmic Gymnastics  Group","Silver","0",0.5,"Women's"
"121","1301","Sri Wahyuni Agustiani","F",21,147,47,"Indonesia","INA","2016 Summer",2016,"Summer","Rio de Janeiro","Weightlifting","Weightlifting  Flyweight","Silver","0",0.5,"Women's"
"122","1313","Robyn Mokihana Ah Mow-Santos","F",32,172,67,"United States","USA","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball  Volleyball","Silver","0",0.5,"Women's"
"123","1340","Annica Gunilla hln","F",27,177,75,"Sweden","SWE","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey  Ice Hockey","Bronze","0",0.5,"Women's"
"124","1356","Christian Ahlmann","M",29,189,80,"Germany","GER","2004 Summer",2004,"Summer","Athina","Equestrianism","Equestrianism  Jumping, Team","Bronze","0",-0.5,"Mixed"
"125","1356","Christian Ahlmann","M",41,189,80,"Germany","GER","2016 Summer",2016,"Summer","Rio de Janeiro","Equestrianism","Equestrianism  Jumping, Team","Bronze","0",-0.5,"Mixed"
"126","1374","Tontowi Ahmad","M",29,179,72,"Indonesia-1","INA","2016 Summer",2016,"Summer","Rio de Janeiro","Badminton","Badminton  Doubles","Gold","1",-0.5,"Mixed"
"127","1379","Jrg Ahmann","M",34,190,88,"Germany-1","GER","2000 Summer",2000,"Summer","Sydney","Beach Volleyball","Beach Volleyball  Beach Volleyball","Bronze","0",-0.5,"Men's"
"128","1435","Janne Petteri Ahonen","M",24,184,66,"Finland","FIN","2002 Winter",2002,"Winter","Salt Lake City","Ski Jumping","Ski Jumping  Large Hill, Team","Silver","0",-0.5,"Men's"
"129","1435","Janne Petteri Ahonen","M",28,184,66,"Finland","FIN","2006 Winter",2006,"Winter","Torino","Ski Jumping","Ski Jumping  Large Hill, Team","Silver","0",-0.5,"Men's"
"130","1444","Christian ""Chris"" Ahrens","M",28,195,97,"United States","USA","2004 Summer",2004,"Summer","Athina","Rowing","Rowing  Coxed Eights","Gold","1",-0.5,"Men's"
"131","1466","Matteo Aicardi","M",26,192,102,"Italy","ITA","2012 Summer",2012,"Summer","London","Water Polo","Water Polo  Water Polo","Silver","0",-0.5,"Men's"
"132","1466","Matteo Aicardi","M",30,192,102,"Italy","ITA","2016 Summer",2016,"Summer","Rio de Janeiro","Water Polo","Water Polo  Water Polo","Bronze","0",-0.5,"Men's"
"133","1467","Mara Magdalena Aicega Amicarelli","F",26,165,60,"Argentina","ARG","2000 Summer",2000,"Summer","Sydney","Hockey","Hockey  Hockey","Silver","0",0.5,"Women's"
"134","1467","Mara Magdalena Aicega Amicarelli","F",30,165,60,"Argentina","ARG","2004 Summer",2004,"Summer","Athina","Hockey","Hockey  Hockey","Bronze","0",0.5,"Women's"
"135","1467","Mara Magdalena Aicega Amicarelli","F",34,165,60,"Argentina","ARG","2008 Summer",2008,"Summer","Beijing","Hockey","Hockey  Hockey","Bronze","0",0.5,"Women's"
"136","1478","Rosaria Aiello","F",27,172,74,"Italy","ITA","2016 Summer",2016,"Summer","Rio de Janeiro","Water Polo","Water Polo  Water Polo","Silver","0",0.5,"Women's"
"137","1481","Hannes Aigner","M",23,183,75,"Germany","GER","2012 Summer",2012,"Summer","London","Canoeing","Canoeing  Kayak Singles, Slalom","Bronze","0",-0.5,"Men's"
"138","1487","Ryoji Aikawa","M",28,183,85,"Japan","JPN","2004 Summer",2004,"Summer","Athina","Baseball","Baseball  Baseball","Bronze","0",-0.5,"Men's"
"139","1498","Charles Benedict ""Ben"" Ainslie","M",19,183,90,"Great Britain","GBR","1996 Summer",1996,"Summer","Atlanta","Sailing","Sailing  One Person Dinghy","Silver","0",-0.5,"Mixed"
"140","1498","Charles Benedict ""Ben"" Ainslie","M",23,183,90,"Great Britain","GBR","2000 Summer",2000,"Summer","Sydney","Sailing","Sailing  One Person Dinghy","Gold","1",-0.5,"Mixed"
"141","1498","Charles Benedict ""Ben"" Ainslie","M",27,183,90,"Great Britain","GBR","2004 Summer",2004,"Summer","Athina","Sailing","Sailing  One Person Dinghy","Gold","1",-0.5,"Men's"
"142","1498","Charles Benedict ""Ben"" Ainslie","M",31,183,90,"Great Britain","GBR","2008 Summer",2008,"Summer","Beijing","Sailing","Sailing  One Person Dinghy","Gold","1",-0.5,"Mixed"
"143","1498","Charles Benedict ""Ben"" Ainslie","M",35,183,90,"Great Britain","GBR","2012 Summer",2012,"Summer","London","Sailing","Sailing  One Person Heavyweight Dinghy","Gold","1",-0.5,"Men's"
"144","1500","Kurt Harold Ainsworth","M",22,187,84,"United States","USA","2000 Summer",2000,"Summer","Sydney","Baseball","Baseball  Baseball","Gold","1",-0.5,"Men's"
"145","1534","Brett Aitken","M",25,173,65,"Australia","AUS","1996 Summer",1996,"Summer","Atlanta","Cycling","Cycling  Team Pursuit, 4,000 metres","Bronze","0",-0.5,"Men's"
"146","1534","Brett Aitken","M",29,173,65,"Australia","AUS","2000 Summer",2000,"Summer","Sydney","Cycling","Cycling  Madison","Gold","1",-0.5,"Men's"
"147","1540","Artur Surenovych Aivazian","M",35,177,88,"Ukraine","UKR","2008 Summer",2008,"Summer","Beijing","Shooting","Shooting  Small-Bore Rifle, Prone, 50 metres","Gold","1",-0.5,"Men's"
